id, Date,Type,From,To,FromSUM,FromCurrency,ToSUM,ToCurrency,Сomment
157,27.10.2021,Expenses,Сбер ₽,Покупки ,612,RUB,612,RUB,Брелки для ключей и чехол для телефона
158,31.10.2021,Transfer,Cash,Копилка,40,RUB,40,RUB,Округление
159,01.11.2021,Expenses,Сбер ₽,Подписки,199,RUB,199,RUB,
160,01.11.2021,Expenses,Сбер ₽,Игры,212,RUB,212,RUB,
161,01.11.2021,Transfer,Cash,Копилка,40,RUB,40,RUB,Округление
162,01.11.2021,Transfer,Cash,Книга,1450,RUB,1450,RUB,
163,02.11.2021,Income,Родственники,Cash,250,RUB,250,RUB,
164,03.11.2021,Income,Каким-то образом,Сбер ₽,500,RUB,500,RUB,От Тани за работу
165,03.11.2021,Transfer,Cash,Копилка,50,RUB,50,RUB,С дохода 10%
166,04.11.2021,Transfer,Cash,Книга,50,RUB,50,RUB,
167,04.11.2021,Expenses,Сбер ₽,not stonks,10,RUB,10,RUB,Привязка карты
168,04.11.2021,Income,Каким-то образом,Сбер ₽,158,RUB,158,RUB,Толока через tele2
169,04.11.2021,Transfer,Cash,Копилка,30,RUB,30,RUB,С дохода 10%
170,04.11.2021,Transfer,Книга,Cash,1500,RUB,1500,RUB,
171,05.11.2021,Transfer,Сбер ₽,Cash,100,RUB,100,RUB,Бабушке
172,05.11.2021,Expenses,Сбер ₽,Игры,24,RUB,24,RUB,
173,05.11.2021,Transfer,Сбер ₽,телефон,26,RUB,26,RUB,Округление
174,06.11.2021,Transfer,Cash,Сбер ₽,1500,RUB,1500,RUB,
175,06.11.2021,Transfer,Сбер ₽,Invistitions XD ₽,1000,RUB,1000,RUB,
176,06.11.2021,Transfer,Сбер ₽,телефон,174,RUB,174,RUB,
177,06.11.2021,Transfer,Сбер ₽,GTA IV,200,RUB,200,RUB,
178,06.11.2021,Transfer,Сбер ₽,GTA IV,400,RUB,400,RUB,
179,08.11.2021,Income,Мама,Cash,50,RUB,50,RUB,
180,08.11.2021,Transfer,GTA IV,MC serвер,110,RUB,110,RUB,
181,08.11.2021,Income,Мама,Cash,150,RUB,150,RUB,
182,09.11.2021,Transfer,GTA IV,Сбер ₽,240,RUB,240,RUB,
183,09.11.2021,Transfer,телефон,PC,200,RUB,200,RUB,
184,10.11.2021,Expenses,Сбер ₽,Игры,146,RUB,146,RUB,
185,11.11.2021,Expenses,Cash,Шкила,25,RUB,25,RUB,
186,11.11.2021,Transfer,Cash,Копилка,25,RUB,25,RUB,Округление
187,11.11.2021,Income,Мама,Cash,100,RUB,100,RUB,
188,11.11.2021,Income,Мама,Cash,200,RUB,200,RUB,
189,13.11.2021,Transfer,GTA IV,Заебала эта ебатория,250,RUB,250,RUB,
190,14.11.2021,Expenses,Сбер ₽,Подписки,57,RUB,57,RUB,Яндекс
191,15.11.2021,Transfer,Cash,Копилка,50,RUB,50,RUB,Округление
192,15.11.2021,Transfer,Cash,Копилка,50,RUB,50,RUB,
